"source","code","title","url","description","imgsrc","tags"
"Flipside","no","Label Adder","https://science.flipsidecrypto.xyz/add-a-label/","App for user label uploads into core label tables.","images/labels.png","app, crosschain, user, label"
"Flipside","yes","Optimist Score by Flipside","https://science.flipsidecrypto.xyz/optimist/","Flipside will attest to your Optimism on-chain actions: Ready?","images/optimist.png","optimism, l2, layer 2, ethereum, user, metrics, app, activity "
"Flipside","yes","Growth hacking w/ on-chain data","https://science.flipsidecrypto.xyz/axelar_evm_tam/","How we identified a target market of 310,888 potential Axelar GMP Power Users by studying SquidRouter across 5 EVM chains.","images/squidrouter.png","app, bridge, ethereum, cosmos, growth, user targeting"
"Flipside","yes","Optimism Attestation Research","https://science.flipsidecrypto.xyz/op_attestation_research/","Taking a look at what motivated users to user our Optimism Attestation tool","images/optimist.png","app, optimism, attestation, research, layer 2, l2"
"Flipside","no","NFT Deal Score","https://science.flipsidecrypto.xyz/nft-deal-score","How much should an NFT cost? Find out here","images/nft_dealscore.png","nft, app, solana, calculator"
"Flipside","yes","Uni ETHUSDC Retroactive","https://science.flipsidecrypto.xyz/ethusdc_results/","A deep dive into the performance of ETH-USDC 0.05% Pool liquidity providers.","images/uniswap_logo.png","research, ethereum, uniswap, dex, v3, amm, retroactive, analysis"
"Flipside","yes","Uni ETHBTC Retroactive","https://science.flipsidecrypto.xyz/ethbtc_results/","A deep dive into the performance of ETH-WBTC 0.3% Pool liquidity providers.","images/uniswap_logo.png","research, ethereum, uniswap, dex, v3, amm, retroactive, analysis"
"Flipside","no","Uniswap V3 Fee Calculator","https://science.flipsidecrypto.xyz/uniswapv3","Calculate potential daily fee income for Uniswap V3 pools","images/uniswapv3.png","uniswap, dex, app, ethereum, v3, amm, calculator"
"Flipside","yes","Hop Airdrop Review","https://science.flipsidecrypto.xyz/hopdrop/","Hop Protocol is a popular bridge across Ethereum Layer 2s. Check out what recipients of the HOP Airdrop did after claiming. Do airdrops work?","images/hop_logo.png","bridge, airdrop, research, ethereum, optimism, polygon, l2, layer 2, hop"
"Flipside","no","Thorchain Calculator","https://science.flipsidecrypto.xyz/thorchain","Find your dream Thorchain pool, we got fees, IL, block rewards & more","images/thorchain_calc.png","thorchain, pools, app, bridge, calculator"
